message
"{'eval_loss': 1.1837279796600342, 'eval_accuracy': 0.4515, 'eval_runtime': 74.8926, 'eval_samples_per_second': 293.754, 'eval_steps_per_second': 4.593, 'epoch': 1.0}"
"{'eval_loss': 1.114703893661499, 'eval_accuracy': 0.49263636363636365, 'eval_runtime': 75.3696, 'eval_samples_per_second': 291.895, 'eval_steps_per_second': 4.564, 'epoch': 2.0}"
"{'eval_loss': 1.1025031805038452, 'eval_accuracy': 0.5036818181818182, 'eval_runtime': 75.315, 'eval_samples_per_second': 292.106, 'eval_steps_per_second': 4.567, 'epoch': 3.0}"
"{'eval_loss': 1.0936528444290161, 'eval_accuracy': 0.5149545454545454, 'eval_runtime': 75.2954, 'eval_samples_per_second': 292.182, 'eval_steps_per_second': 4.569, 'epoch': 4.0}"
"{'eval_loss': 1.1034687757492065, 'eval_accuracy': 0.5096818181818182, 'eval_runtime': 75.2834, 'eval_samples_per_second': 292.229, 'eval_steps_per_second': 4.569, 'epoch': 5.0}"
"{'eval_loss': 1.1147563457489014, 'eval_accuracy': 0.5083181818181818, 'eval_runtime': 75.3383, 'eval_samples_per_second': 292.016, 'eval_steps_per_second': 4.566, 'epoch': 6.0}"
"{'eval_loss': 1.148931860923767, 'eval_accuracy': 0.5066363636363637, 'eval_runtime': 75.21, 'eval_samples_per_second': 292.514, 'eval_steps_per_second': 4.574, 'epoch': 7.0}"
"{'eval_loss': 1.191471815109253, 'eval_accuracy': 0.5009090909090909, 'eval_runtime': 75.2319, 'eval_samples_per_second': 292.429, 'eval_steps_per_second': 4.573, 'epoch': 8.0}"
"{'eval_loss': 1.2185717821121216, 'eval_accuracy': 0.49845454545454543, 'eval_runtime': 75.3164, 'eval_samples_per_second': 292.101, 'eval_steps_per_second': 4.567, 'epoch': 9.0}"
"{'eval_loss': 1.2324868440628052, 'eval_accuracy': 0.5003181818181818, 'eval_runtime': 75.2136, 'eval_samples_per_second': 292.5, 'eval_steps_per_second': 4.574, 'epoch': 10.0}"
